"Title","Authors","Corporate Authors","Editors","Book Editors","Source Title","Publication Date","Publication Year","Volume","Issue","Part Number","Supplement","Special Issue","Beginning Page","Ending Page","Article Number","DOI","Conference Title","Conference Date","Total Citations","Average per Year","2016","2017","2018","2019"
"Crystal structure of the human sterol transporter ABCG5/ABCG8","Lee, Jyh-Yeuan; Kinch, Lisa N.; Borek, Dominika M.; Wang, Jin; Wang, Junmei; Urbatsch, Ina L.; Xie, Xiao-Song; Grishin, Nikolai V.; Cohen, Jonathan C.; Otwinowski, Zbyszek; Hobbs, Helen H.; Rosenbaum, Daniel M.",NA,NA,NA,"NATURE","MAY 26 2016","2016","533","7604",NA,NA,NA,"561","+",NA,"10.1038/nature17666",NA,NA,"78","19.5",2,34,25,17
"Autism-associated SHANK3 haploinsufficiency causes I-h channelopathy in human neurons","Yi, Fei; Danko, Tamas; Botelho, Salome Calado; Patzke, Christopher; Pak, ChangHui; Wernig, Marius; Sudhof, Thomas C.",NA,NA,NA,"SCIENCE","MAY 6 2016","2016","352","6286",NA,NA,NA,NA,NA,"aaf2669","10.1126/science.aaf2669",NA,NA,"78","19.5",7,19,41,11
"All-optical control and metrology of electron pulses","Kealhofer, C.; Schneider, W.; Ehberger, D.; Ryabov, A.; Krausz, F.; Baum, P.",NA,NA,NA,"SCIENCE","APR 22 2016","2016","352","6284",NA,NA,NA,"429","433",NA,"10.1126/science.aae0003",NA,NA,"78","19.5",8,25,31,14
"Copper-catalysed enantioselective stereodivergent synthesis of amino alcohols","Shi, Shi-Liang; Wong, Zackary L.; Buchwald, Stephen L.",NA,NA,NA,"NATURE","APR 21 2016","2016","532","7599",NA,NA,NA,"353","356",NA,"10.1038/nature17191",NA,NA,"78","19.5",10,23,35,10
"Nucleotide excision repair is impaired by binding of transcription factors to DNA","Sabarinathan, Radhakrishnan; Mularoni, Loris; Deu-Pons, Jordi; Gonzalez-Perez, Abel; Lopez-Bigas, Nuria",NA,NA,NA,"NATURE","APR 14 2016","2016","532","7598",NA,NA,NA,"264","+",NA,"10.1038/nature17661",NA,NA,"78","19.5",15,31,22,10
"Accelerated crystallization of zeolites via hydroxyl free radicals","Feng, Guodong; Cheng, Peng; Yan, Wenfu; Boronat, Mercedes; Li, Xu; Su, Ji-Hu; Wang, Jianyu; Li, Yi; Corma, Avelino; Xu, Ruren; Yu, Jihong",NA,NA,NA,"SCIENCE","MAR 11 2016","2016","351","6278",NA,NA,NA,"1188","1191",NA,"10.1126/science.aaf1559",NA,NA,"78","19.5",5,25,29,19
"Layer-by-layer assembly of two-dimensional materials into wafer-scale heterostructures","Kang, Kibum; Lee, Kan-Heng; Han, Yimo; Gao, Hui; Xie, Saien; Muller, David A.; Park, Jiwoong",NA,NA,NA,"NATURE","OCT 12 2017","2017","550","7675",NA,NA,NA,"229","233",NA,"10.1038/nature23905",NA,NA,"77","25.670000000000002",0,1,41,35
"Hydrolytically stable fluorinated metal-organic frameworks for energy-efficient dehydration","Cadiau, Amandine; Belmabkhout, Youssef; Adil, Karim; Bhatt, Prashant M.; Pillai, Renjith S.; Shkurenko, Aleksander; Martineau-Corcos, Charlotte; Maurin, Guillaume; Eddaoudi, Mohamed",NA,NA,NA,"SCIENCE","MAY 19 2017","2017","356","6339",NA,NA,"SI","731","735",NA,"10.1126/science.aam8310",NA,NA,"77","25.670000000000002",0,12,47,18
"Transgenerational transmission of environmental information in C-elegans","Klosin, Adam; Casas, Eduard; Hidalgo-Carcedo, Cristina; Vavouri, Tanya; Lehner, Ben",NA,NA,NA,"SCIENCE","APR 21 2017","2017","356","6335",NA,NA,NA,"316","319",NA,"10.1126/science.aah6412",NA,NA,"77","25.670000000000002",0,17,40,20
"Continuous-wave lasing in colloidal quantum dot solids enabled by facet-selective epitaxy","Fan, Fengjia; Voznyy, Oleksandr; Sabatini, Randy P.; Bicanic, Kristopher T.; Adachi, Michael M.; McBride, James R.; Reid, Kemar R.; Park, Young-Shin; Li, Xiyan; Jain, Ankit; Quintero-Bermudez, Rafael; Saravanapavanantham, Mayuran; Liu, Min; Korkusinski, Marek; Hawrylak, Pawel; Klimov, Victor I.; Rosenthal, Sandra J.; Hoogland, Sjoerd; Sargent, Edward H.",NA,NA,NA,"NATURE","APR 6 2017","2017","544","7648",NA,NA,NA,"75","+",NA,"10.1038/nature21424",NA,NA,"77","25.670000000000002",0,14,48,15
"Identification of single-site gold catalysis in acetylene hydrochlorination","Malta, Grazia; Kondrat, Simon A.; Freakley, Simon J.; Davies, Catherine J.; Lu, Li; Dawson, Simon; Thetford, Adam; Gibson, Emma K.; Morgan, David J.; Jones, Wilm; Wells, Peter P.; Johnston, Peter; Catlow, C. Richard A.; Kiely, Christopher J.; Hutchings, Graham J.",NA,NA,NA,"SCIENCE","MAR 31 2017","2017","355","6332",NA,NA,NA,"1399","1402",NA,"10.1126/science.aal3439",NA,NA,"77","25.670000000000002",0,15,39,23
"Functional materials discovery using energy-structure-function maps","Pulido, Angeles; Chen, Linjiang; Kaczorowski, Tomasz; Holden, Daniel; Little, Marc A.; Chong, Samantha Y.; Slater, Benjamin J.; McMahon, David P.; Bonillo, Baltasar; Stackhouse, Chloe J.; Stephenson, Andrew; Kane, Christopher M.; Clowes, Rob; Hasell, Tom; Cooper, Andrew I.; Day, Graeme M.",NA,NA,NA,"NATURE","MAR 30 2017","2017","543","7647",NA,NA,NA,"657","+",NA,"10.1038/nature21419",NA,NA,"77","25.670000000000002",0,22,44,11
"Deep functional analysis of synII, a 770-kilobase synthetic yeast chromosome","Shen, Yue; Wang, Yun; Chen, Tai; Gao, Feng; Gong, Jianhui; Abramczyk, Dariusz; Walker, Roy; Zhao, Hongcui; Chen, Shihong; Liu, Wei; Luo, Yisha; Mueller, Carolin A.; Paul-Dubois-Taine, Adrien; Alver, Bonnie; Stracquadanio, Giovanni; Mitchell, Leslie A.; Luo, Zhouqing; Fan, Yanqun; Zhou, Baojin; Wen, Bo; Tan, Fengji; Wang, Yujia; Zi, Jin; Xie, Zexiong; Li, Bingzhi; Yang, Kun; Richardson, Sarah M.; Jiang, Hui; French, Christopher E.; Nieduszynski, Conrad A.; Koszul, Romain; Marston, Adele L.; Yuan, Yingjin; Wang, Jian; Bader, Joel S.; Dai, Junbiao; Boeke, Jef D.; Xu, Xun; Cai, Yizhi; Yang, Huanming",NA,NA,NA,"SCIENCE","MAR 10 2017","2017","355","6329",NA,NA,"SI",NA,NA,"eaaf4791","10.1126/science.aaf4791",NA,NA,"77","25.670000000000002",0,16,31,30
"Distribution of phyllosilicates on the surface of Ceres","Ammannito, E.; DeSanctis, M. C.; Ciarniello, M.; Frigeri, A.; Carrozzo, F. G.; Combe, J. -Ph.; Ehlmann, B. L.; Marchi, S.; McSween, H. Y.; Raponi, A.; Toplis, M. J.; Tosi, F.; Castillo-Rogez, J. C.; Capaccioni, F.; Capria, M. T.; Fonte, S.; Giardino, M.; Jaumann, R.; Longobardo, A.; Joy, S. P.; Magni, G.; McCord, T. B.; McFadden, L. A.; Palomba, E.; Pieters, C. M.; Polanskey, C. A.; Rayman, M. D.; Raymond, C. A.; Schenk, P. M.; Zambon, F.; Russell, C. T.",NA,NA,NA,"SCIENCE","SEP 2 2016","2016","353","6303",NA,NA,NA,NA,NA,"aaf4279","10.1126/science.aaf4279",NA,NA,"77","19.25",7,11,27,32
"Tracing haematopoietic stem cell formation at single-cell resolution","Zhou, Fan; Li, Xianlong; Wang, Weili; Zhu, Ping; Zhou, Jie; He, Wenyan; Ding, Meng; Xiong, Fuyin; Zheng, Xiaona; Li, Zhuan; Ni, Yanli; Mu, Xiaohuan; Wen, Lu; Cheng, Tao; Lan, Yu; Yuan, Weiping; Tang, Fuchou; Liu, Bing",NA,NA,NA,"NATURE","MAY 26 2016","2016","533","7604",NA,NA,NA,"487","+",NA,"10.1038/nature17997",NA,NA,"77","19.25",10,26,30,11
"De novo design of protein homo-oligomers with modular hydrogen-bond network-mediated specificity","Boyken, Scott E.; Chen, Zibo; Groves, Benjamin; Langan, Robert A.; Oberdorfer, Gustav; Ford, Alex; Gilmore, Jason M.; Xu, Chunfu; DiMaio, Frank; Pereira, Jose Henrique; Sankaran, Banumathi; Seelig, Georg; Zwart, Peter H.; Baker, David",NA,NA,NA,"SCIENCE","MAY 6 2016","2016","352","6286",NA,NA,NA,"680","687",NA,"10.1126/science.aad8865",NA,NA,"77","19.25",7,28,33,9
"Deriving human ENS lineages for cell therapy and drug discovery in Hirschsprung disease","Fattahi, Faranak; Steinbeck, Julius A.; Kriks, Sonja; Tchieu, Jason; Zimmer, Bastian; Kishinevsky, Sarah; Zeltner, Nadja; Mica, Yvonne; El-Nachef, Wael; Zhao, Huiyong; de Stanchina, Elisa; Gershon, Michael D.; Grikscheit, Tracy C.; Chen, Shuibing; Studer, Lorenz",NA,NA,NA,"NATURE","MAR 3 2016","2016","531","7592",NA,NA,NA,"105","+",NA,"10.1038/nature16951",NA,NA,"77","19.25",11,28,27,11
"Cryo-electron microscopy structure of a coronavirus spike glycoprotein trimer","Walls, Alexandra C.; Tortorici, M. Alejandra; Bosch, Berend-Jan; Frenz, Brandon; Rottier, Peter J. M.; DiMaio, Frank; Rey, Felix A.; Veesler, David",NA,NA,NA,"NATURE","MAR 3 2016","2016","531","7592",NA,NA,NA,"114","+",NA,"10.1038/nature16988",NA,NA,"77","19.25",16,27,24,10
"Translation from the 5 ' untranslated region shapes the integrated stress response","Starck, Shelley R.; Tsai, Jordan C.; Chen, Keling; Shodiya, Michael; Wang, Lei; Yahiro, Kinnosuke; Martins-Green, Manuela; Shastri, Nilabh; Walter, Peter",NA,NA,NA,"SCIENCE","JAN 29 2016","2016","351","6272",NA,NA,NA,NA,NA,"aad3867","10.1126/science.aad3867",NA,NA,"77","19.25",16,22,28,11
"The calcium sensor synaptotagmin 7 is required for synaptic facilitation","Jackman, Skyler L.; Turecek, Josef; Belinsky, Justine E.; Regehr, Wade G.",NA,NA,NA,"NATURE","JAN 7 2016","2016","529","7584",NA,NA,NA,"88","+",NA,"10.1038/nature16507",NA,NA,"77","19.25",7,28,28,14
"Approaching the Schottky-Mott limit in van der Waals metal-semiconductor junctions","Liu, Yuan; Guo, Jian; Zhu, Enbo; Liao, Lei; Lee, Sung-Joon; Ding, Mengning; Shakir, Imran; Gambin, Vincent; Huang, Yu; Duan, Xiangfeng",NA,NA,NA,"NATURE","MAY 31 2018","2018","557","7707",NA,NA,NA,"696","+",NA,"10.1038/s41586-018-0129-8",NA,NA,"76","38",0,0,20,56
"High-resolution non-destructive three-dimensional imaging of integrated circuits","Holler, Mirko; Guizar-Sicairos, Manuel; Tsai, Esther H. R.; Dinapoli, Roberto; Muller, Elisabeth; Bunk, Oliver; Raabe, Jorg; Aeppli, Gabriel",NA,NA,NA,"NATURE","MAR 16 2017","2017","543","7645",NA,NA,NA,"402","+",NA,"10.1038/nature21698",NA,NA,"76","25.329999999999998",0,20,44,12
"Anomalously low electronic thermal conductivity in metallic vanadium dioxide","Sangwook, Lee; Hippalgaonkar, Kedar; Yang, Fan; Hong, Jiawang; Ko, Changhyun; Suh, Joonki; Liu, Kai; Wang, Kevin; Urban, Jeffrey J.; Zhang, Xiang; Dames, Chris; Hartnoll, Sean A.; Delaire, Olivier; Wu, Junqiao",NA,NA,NA,"SCIENCE","JAN 27 2017","2017","355","6323",NA,NA,NA,"371","+",NA,"10.1126/science.aag0410",NA,NA,"76","25.329999999999998",0,16,42,18
"S-2-hydroxyglutarate regulates CD8(+) T-lymphocyte fate","Tyrakis, Petros A.; Palazon, Asis; Macias, David; Lee, Kian L.; Phan, Anthony T.; Velica, Pedro; You, Jia; Chia, Grace S.; Sim, Jingwei; Doedens, Andrew; Abelanet, Alice; Evans, Colin E.; Griffiths, John R.; Poellinger, Lorenz; Goldrath, Ananda W.; Johnson, Randall S.",NA,NA,NA,"NATURE","DEC 8 2016","2016","540","7632",NA,NA,NA,"236","+",NA,"10.1038/nature20165",NA,NA,"76","19",0,27,35,14
"Tracking the ultrafast motion of a single molecule by femtosecond orbital imaging","Cocker, Tyler L.; Peller, Dominik; Yu, Ping; Repp, Jascha; Huber, Rupert",NA,NA,NA,"NATURE","NOV 10 2016","2016","539","7628",NA,NA,NA,"263","+",NA,"10.1038/nature19816",NA,NA,"76","19",1,20,42,13
"Switching on electrocatalytic activity in solid oxide cells","Myung, Jae-ha; Neagu, Dragos; Miller, David N.; Irvine, John T. S.",NA,NA,NA,"NATURE","SEP 22 2016","2016","537","7621",NA,NA,NA,"528","+",NA,"10.1038/nature19090",NA,NA,"76","19",2,23,37,14
"Engineering and mapping nanocavity emission via precision placement of DNA origami","Gopinath, Ashwin; Miyazono, Evan; Faraon, Andrei; Rothemund, Paul W. K.",NA,NA,NA,"NATURE","JUL 21 2016","2016","535","7612",NA,NA,NA,"401","+",NA,"10.1038/nature18287",NA,NA,"76","19",2,31,31,12
